date,AQI指数,PM2.5 ,PM10,So2,No2,Co,O3
2022/2/1,137,103,146,10,21,0.91,64
2022/2/2,61,44,55,6,16,0.67,68
2022/2/3,69,50,56,6,26,0.88,45
2022/2/4,73,53,62,6,29,0.86,46
2022/2/5,82,60,68,8,30,0.94,53
2022/2/6,78,57,61,7,19,0.82,67
2022/2/7,30,21,20,5,15,0.63,65
2022/2/8,33,23,21,6,16,0.57,64
2022/2/9,47,33,30,6,22,0.61,50
2022/2/10,52,37,38,6,30,0.76,36
2022/2/11,67,48,49,7,43,0.87,18
2022/2/12,77,56,54,6,28,0.82,37
2022/2/13,57,40,42,6,34,0.83,30
2022/2/14,63,45,57,7,51,1.04,24
2022/2/15,90,67,78,8,38,1.03,41
2022/2/16,107,80,100,7,33,1,35
2022/2/17,42,29,35,6,20,0.68,47
2022/2/18,31,21,21,5,18,0.53,42
2022/2/19,45,31,33,5,16,0.58,48
2022/2/20,73,53,59,8,33,0.82,52
2022/2/21,62,44,60,12,62,0.98,29
2022/2/22,87,64,87,11,71,1.14,26
2022/2/23,75,55,61,8,35,0.85,65
2022/2/24,96,72,96,10,64,1.08,52
2022/2/25,86,64,89,9,77,1.05,48
2022/2/26,78,57,87,9,81,0.98,42
2022/2/27,83,61,102,11,68,1.07,62
2022/2/28,88,65,118,13,91,1.32,17
2022/1/1,126,95,109,10,77,1,36
2022/1/2,164,124,148,12,99,1.41,28
2022/1/3,133,101,123,14,93,1.29,31
2022/1/4,159,120,123,8,65,1.2,30
2022/1/5,52,37,39,5,25,0.95,43
2022/1/6,27,18,21,5,27,0.59,30
2022/1/7,57,41,43,6,37,0.77,24
2022/1/8,107,80,79,7,48,1.01,30
2022/1/9,85,62,64,6,49,0.84,24
2022/1/10,97,72,77,7,51,1.05,17
2022/1/11,161,122,121,7,50,1.44,39
2022/1/12,142,107,113,10,64,1.5,31
2022/1/13,123,93,100,8,37,1.01,46
2022/1/14,106,79,84,11,56,1.16,22
2022/1/15,122,92,97,10,63,1.21,24
2022/1/16,131,100,104,9,66,1.23,30
2022/1/17,156,119,134,9,66,1.23,36
2022/1/18,227,177,172,9,69,1.57,40
2022/1/19,189,143,160,10,81,1.79,41
2022/1/20,191,146,143,7,35,1.25,47
2022/1/21,98,73,83,6,35,1.06,18
2022/1/22,49,35,39,5,29,0.83,13
2022/1/23,30,20,20,5,30,1.01,13
2022/1/24,57,41,37,5,29,1.19,20
2022/1/25,93,69,69,5,31,1.28,19
2022/1/26,61,44,47,5,25,1.19,29
