date,tep_high,tep_low
2016/3/1,17,8
2016/3/2,19,8
2016/3/3,21,11
2016/3/4,22,10
2016/3/5,18,7
2016/3/6,22,11
2016/3/7,22,11
2016/3/8,11,4
2016/3/9,7,2
2016/3/10,8,1
2016/3/11,12,3
2016/3/12,13,4
2016/3/13,17,6
2016/3/14,16,7
2016/3/15,13,7
2016/3/16,16,11
2016/3/17,15,9
2016/3/18,20,10
2016/3/19,22,12
2016/3/20,21,11
2016/3/21,19,10
2016/3/22,18,11
2016/3/23,16,8
2016/3/24,14,4
2016/3/25,16,4
2016/3/26,13,3
2016/3/27,19,5
2016/3/28,22,9
2016/3/29,17,11
2016/3/30,15,8
2016/3/31,21,13
2016/4/1,25,15
2016/4/2,22,14
2016/4/3,17,11
2016/4/4,17,13
2016/4/5,17,14
2016/4/6,15,12
2016/4/7,23,12
2016/4/8,24,14
2016/4/9,23,14
2016/4/10,26,15
2016/4/11,26,14
2016/4/12,26,15
2016/4/13,27,16
2016/4/14,25,17
2016/4/15,23,16
2016/4/16,22,12
2016/4/17,20,10
2016/4/18,23,14
2016/4/19,26,16
2016/4/20,20,15
2016/4/21,25,16
2016/4/22,23,16
2016/4/23,23,15
2016/4/24,21,14
2016/4/25,20,15
2016/4/26,20,15
2016/4/27,24,14
2016/4/28,25,14
2016/4/29,26,16
2016/4/30,29,18
2016/5/1,28,18
2016/5/2,26,15
2016/5/3,28,17
2016/5/4,29,21
2016/5/5,27,22
2016/5/6,29,22
2016/5/7,23,16
2016/5/8,20,15
2016/5/9,22,16
2016/5/10,26,16
2016/5/11,28,18
2016/5/12,31,19
2016/5/13,28,18
2016/5/14,26,16
2016/5/15,20,13
2016/5/16,25,14
2016/5/17,27,16
2016/5/18,27,19
2016/5/19,25,18
2016/5/20,21,17
2016/5/21,22,17
2016/5/22,24,17
2016/5/23,24,16
2016/5/24,27,18
2016/5/25,27,18
2016/5/26,22,17
2016/5/27,19,16
2016/5/28,22,17
2016/5/29,28,18
2016/5/30,28,23
2016/5/31,32,24
2016/6/1,25,19
2016/6/2,21,18
2016/6/3,22,16
2016/6/4,28,19
2016/6/5,31,21
2016/6/6,32,22
2016/6/7,29,22
2016/6/8,29,21
2016/6/9,29,22
2016/6/10,30,22
2016/6/11,29,21
2016/6/12,27,21
2016/6/13,32,23
2016/6/14,33,24
2016/6/15,30,20
2016/6/16,30,19
2016/6/17,33,23
2016/6/18,31,24
2016/6/19,28,24
2016/6/20,31,25
2016/6/21,31,25
2016/6/22,33,26
2016/6/23,35,27
2016/6/24,30,21
2016/6/25,22,19
2016/6/26,25,21
2016/6/27,23,19
2016/6/28,22,19
2016/6/29,30,23
2016/6/30,32,24
2016/7/1,25,22
2016/7/2,26,21
2016/7/3,27,22
2016/7/4,26,22
2016/7/5,28,24
2016/7/6,29,24
2016/7/7,32,24
2016/7/8,33,25
2016/7/9,34,26
2016/7/10,35,25
2016/7/11,34,26
2016/7/12,34,26
2016/7/13,31,26
2016/7/14,31,24
2016/7/15,28,21
2016/7/16,33,24
2016/7/17,33,25
2016/7/18,32,26
2016/7/19,32,26
2016/7/20,29,26
2016/7/21,34,27
2016/7/22,35,27
2016/7/23,36,27
2016/7/24,37,28
2016/7/25,38,29
2016/7/26,38,29
2016/7/27,38,28
2016/7/28,38,28
2016/7/29,38,28
2016/7/30,38,30
2016/7/31,38,28
2016/8/1,38,27
2016/8/2,35,27
2016/8/3,33,26
2016/8/4,31,25
2016/8/5,32,26
2016/8/6,30,25
2016/8/7,32,26
2016/8/8,32,26
2016/8/9,32,26
2016/8/10,34,26
2016/8/11,36,27
2016/8/12,36,28
2016/8/13,37,28
2016/8/14,37,27
2016/8/15,37,27
2016/8/16,38,28
2016/8/17,37,28
2016/8/18,37,28
2016/8/19,38,28
2016/8/20,36,26
2016/8/21,36,27
2016/8/22,34,27
2016/8/23,35,27
2016/8/24,35,27
2016/8/25,35,26
2016/8/26,30,22
2016/8/27,27,18
2016/8/28,30,19
2016/8/29,31,19
2016/8/30,31,20
2016/8/31,31,22
2016/9/1,33,21
2016/9/2,33,21
2016/9/3,34,23
2016/9/4,32,22
2016/9/5,31,23
2016/9/6,30,21
2016/9/7,32,23
2016/9/8,32,22
2016/9/9,30,21
2016/9/10,30,23
2016/9/11,32,21
2016/9/12,32,22
2016/9/13,33,21
2016/9/14,33,22
2016/9/15,30,22
2016/9/16,31,22
2016/9/17,32,21
2016/9/18,31,20
2016/9/19,30,20
2016/9/20,28,18
2016/9/21,28,17
2016/9/22,30,19
2016/9/23,30,21
2016/9/24,31,23
2016/9/25,31,23
2016/9/26,33,23
2016/9/27,33,23
2016/9/28,26,17
2016/9/29,20,18
2016/9/30,20,17
2016/10/1,21,17
2016/10/2,25,16
2016/10/3,29,18
2016/10/4,30,18
2016/10/5,30,19
2016/10/6,29,20
2016/10/7,27,19
2016/10/8,26,16
2016/10/9,24,16
2016/10/10,23,15
2016/10/11,23,16
2016/10/12,20,17
2016/10/13,19,16
2016/10/14,19,16
2016/10/15,23,17
2016/10/16,25,15
2016/10/17,24,17
2016/10/18,24,19
2016/10/19,25,20
2016/10/20,23,20
2016/10/21,23,18
2016/10/22,22,17
2016/10/23,21,15
2016/10/24,18,14
2016/10/25,15,14
2016/10/26,17,15
2016/10/27,17,12
2016/10/28,14,9
2016/10/29,11,8
2016/10/30,15,10
2016/10/31,14,9
2016/11/1,16,7
2016/11/2,18,8
2016/11/3,18,9
2016/11/4,19,10
2016/11/5,23,13
2016/11/6,23,13
2016/11/7,16,10
2016/11/8,11,8
2016/11/9,11,4
2016/11/10,14,5
2016/11/11,18,8
2016/11/12,20,11
2016/11/13,20,10
2016/11/14,20,14
2016/11/15,18,14
2016/11/16,17,14
2016/11/17,16,15
2016/11/18,16,16
2016/11/19,19,14
2016/11/20,19,14
2016/11/21,19,7
2016/11/22,7,-1
2016/11/23,2,-2
2016/11/24,5,1
2016/11/25,7,3
2016/11/26,12,2
2016/11/27,17,3
2016/11/28,14,3
2016/11/29,11,3
2016/11/30,12,2
2016/12/1,15,4
2016/12/2,15,4
2016/12/3,15,4
2016/12/4,17,5
2016/12/5,17,2
2016/12/6,12,2
2016/12/7,16,4
2016/12/8,17,3
2016/12/9,16,3
2016/12/10,14,4
2016/12/11,13,4
2016/12/12,13,7
2016/12/13,12,3
2016/12/14,10,0
2016/12/15,10,1
2016/12/16,12,1
2016/12/17,13,4
2016/12/18,16,5
2016/12/19,14,6
2016/12/20,12,8
2016/12/21,9,1
2016/12/22,13,1
2016/12/23,13,4
2016/12/24,8,4
2016/12/25,7,4
2016/12/26,7,0
2016/12/27,9,-2
2016/12/28,7,-2
2016/12/29,9,-1
2016/12/30,10,-1
2016/12/31,12,2
2017/1/1,14,5
2017/1/2,15,7
2017/1/3,15,7
2017/1/4,13,10
2017/1/5,11,8
2017/1/6,8,5
2017/1/7,7,2
2017/1/8,11,2
2017/1/9,11,6
2017/1/10,8,4
2017/1/11,7,4
2017/1/12,9,-1
2017/1/13,11,2
2017/1/14,9,1
2017/1/15,8,-2
2017/1/16,9,3
2017/1/17,9,4
2017/1/18,7,3
2017/1/19,10,-2
2017/1/20,7,-3
2017/1/21,9,-1
2017/1/22,12,-1
2017/1/23,13,2
2017/1/24,11,2
2017/1/25,13,0
2017/1/26,15,3
2017/1/27,12,4
2017/1/28,15,6
2017/1/29,10,0
2017/1/30,7,1
2017/1/31,4,2
2017/2/1,6,2
2017/2/2,4,3
2017/2/3,6,3
2017/2/4,11,2
2017/2/5,13,2
2017/2/6,12,4
2017/2/7,8,0
2017/2/8,4,-3
2017/2/9,8,-3
2017/2/10,10,-2
2017/2/11,11,-2
2017/2/12,14,0
2017/2/13,16,2
2017/2/14,16,5
2017/2/15,18,9
2017/2/16,21,9
2017/2/17,16,6
2017/2/18,15,9
2017/2/19,21,9
2017/2/20,15,5
2017/2/21,6,0
2017/2/22,6,2
2017/2/23,9,1
2017/2/24,12,2
2017/2/25,14,3
2017/2/26,17,2
2017/2/27,18,5
2017/2/28,18,6
2017/3/1,16,0
2017/3/2,14,4
2017/3/3,15,8
2017/3/4,12,7
2017/3/5,15,8
2017/3/6,16,4
2017/3/7,17,4
2017/3/8,17,5
2017/3/9,18,7
2017/3/10,15,11
2017/3/11,19,12
2017/3/12,15,4
